,Gene,feature_selected
7,ID1,1
10,KLK10,1
15,APLN,1
20,S100A3,1
31,MAP1B,1
44,ATF5,1
49,CLDN7,1
61,DYNLT1,1
70,EVA1B,1
98,YWHAB,1
