,Gene,feature_selected
7,ID1,1
10,KLK10,1
15,APLN,1
20,S100A3,1
27,VIM,1
31,MAP1B,1
49,CLDN7,1
61,DYNLT1,1
67,BEX1,1
70,EVA1B,1
89,THY1,1
98,YWHAB,1
122,TUBA1C,1
153,EIF4EBP1,1
219,RPS19BP1,1
295,FABP5,1
346,PRR13,1
391,CUTA,1
620,GNG5,1
849,EIF2S2,1
