"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"108","Positive Regulation Of DNA Binding (GO:0043388)","2/33",0.0118145960439168,0.120938501322275,0,0,13.0803159973667,58.0559303610333,"HMGB2;NME1"
"109","Positive Regulation Of Cytokine Production Involved In Immune Response (GO:0002720)","2/33",0.0118145960439168,0.120938501322275,0,0,13.0803159973667,58.0559303610333,"SLC7A5;WNT5A"
"110","Regulation Of Cell Adhesion Mediated By Integrin (GO:0033628)","2/33",0.0118145960439168,0.120938501322275,0,0,13.0803159973667,58.0559303610333,"SERPINE1;CYP1B1"
"111","Response To Estrogen (GO:0043627)","2/34",0.0125124802245356,0.123588181866904,0,0,12.6709183673469,55.5116572102178,"KRT19;CD24"
"112","Positive Regulation Of Neuron Death (GO:1901216)","2/34",0.0125124802245356,0.123588181866904,0,0,12.6709183673469,55.5116572102178,"WNT5A;FYN"
"113","Positive Regulation Of Transcription By RNA Polymerase I (GO:0045943)","2/34",0.0125124802245356,0.123588181866904,0,0,12.6709183673469,55.5116572102178,"DEK;SF3B1"
"114","Purine Nucleotide Metabolic Process (GO:0006163)","2/34",0.0125124802245356,0.123588181866904,0,0,12.6709183673469,55.5116572102178,"KRT17;GUK1"
"115","Monocarboxylic Acid Metabolic Process (GO:0032787)","3/97",0.0127385466637258,0.124726987333524,0,0,6.51656064926519,28.4325537727779,"KRT17;FASN;ACSL3"
"116","Positive Regulation Of Multicellular Organismal Process (GO:0051240)","6/387",0.0131279386649067,0.125165623231526,0,0,3.27006198693248,14.1692197832889,"SCD;SERPINE1;CFL1;WNT5A;LCN2;ENO1"
"117","Neutral Amino Acid Transport (GO:0015804)","2/35",0.0132279832722483,0.125165623231526,0,0,12.2863327149041,53.1435584472206,"SLC7A5;SLC3A2"
"118","Hexose Biosynthetic Process (GO:0019319)","2/35",0.0132279832722483,0.125165623231526,0,0,12.2863327149041,53.1435584472206,"KRT17;ENO1"
"119","Positive Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904358)","2/35",0.0132279832722483,0.125165623231526,0,0,12.2863327149041,53.1435584472206,"HNRNPA2B1;NEK2"
"120","Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662)","2/37",0.0147110875878219,0.138039038532395,0,0,11.5830903790087,48.8708399253876,"IGFBP3;TPM1"
"121","Positive Regulation Of Vasculature Development (GO:1904018)","3/104",0.0153453232940327,0.141695777965058,0,0,6.06277431866898,25.3238719831502,"SERPINE1;WNT5A;CYP1B1"
"122","Response To Peptide (GO:1901652)","2/38",0.0154783132235365,0.141695777965058,0,0,11.2607709750567,46.9384448645158,"ANXA1;FYN"
"123","Positive Regulation Of Production Of Molecular Mediator Of Immune Response (GO:0002702)","2/38",0.0154783132235365,0.141695777965058,0,0,11.2607709750567,46.9384448645158,"SLC7A5;WNT5A"
"124","Intrinsic Apoptotic Signaling Pathway (GO:0097193)","3/105",0.0157404409875109,0.142933359289817,0,0,6.00303214069133,24.9217201151844,"CYP1B1;CYCS;CD24"
"125","Regulation Of Signal Transduction (GO:0009966)","4/193",0.0160717407971991,0.144184800335474,0,0,4.34545855379189,17.9497542704628,"IGFBP3;NUCKS1;FYN;CD24"
"126","Regulation Of Mitotic Spindle Organization (GO:0060236)","2/39",0.0162624064321538,0.144184800335474,0,0,10.9558742415885,45.1261415257865,"TPX2;PLK1"
"127","Positive Regulation Of ATP-dependent Activity (GO:0032781)","2/39",0.0162624064321538,0.144184800335474,0,0,10.9558742415885,45.1261415257865,"TPM1;PFN1"
"128","Regulation Of Programmed Cell Death (GO:0043067)","4/195",0.0166285972765378,0.144459729021404,0,0,4.29952006980803,17.6135486576699,"FYN;ANP32B;TGM2;NME1"
"129","Positive Regulation Of Protein Metabolic Process (GO:0051247)","4/196",0.016911514443461,0.144459729021404,0,0,4.27690972222222,17.4487676078346,"USP8;WNT5A;PLK1;EEF2"
"130","Regulation Of Cytosolic Calcium Ion Concentration (GO:0051480)","2/40",0.0170631829128301,0.144459729021404,0,0,10.6670247046187,43.4236674606069,"CALB2;WNT5A"
"131","L-alpha-amino Acid Transmembrane Transport (GO:1902475)","2/40",0.0170631829128301,0.144459729021404,0,0,10.6670247046187,43.4236674606069,"SLC7A5;SLC3A2"
"132","Retinoid Metabolic Process (GO:0001523)","2/40",0.0170631829128301,0.144459729021404,0,0,10.6670247046187,43.4236674606069,"ALDH1A3;CYP1B1"
"133","Positive Regulation Of Wound Healing (GO:0090303)","2/40",0.0170631829128301,0.144459729021404,0,0,10.6670247046187,43.4236674606069,"ANXA1;SERPINE1"
"134","Cellular Response To Salt (GO:1902075)","3/109",0.0173780716412014,0.146027676626812,0,0,5.77533553783311,23.4048136142864,"WNT5A;FYN;TGM2"
"135","Response To Lipid (GO:0033993)","3/110",0.0178018044903922,0.148480235971715,0,0,5.72107139416129,23.0470812431264,"ANXA1;SCD;HMGB2"
"136","Cytoskeleton Organization (GO:0007010)","3/111",0.0182312795363318,0.149842487284011,0,0,5.66781214203895,22.6974140470314,"CFL1;TPM1;KRT13"
"137","Mitotic Cell Cycle Phase Transition (GO:0044772)","3/111",0.0182312795363318,0.149842487284011,0,0,5.66781214203895,22.6974140470314,"UBE2C;PLK1;CDKN3"
"138","Keratinocyte Differentiation (GO:0030216)","2/42",0.0187140554000923,0.151597312089956,0,0,10.1326530612245,40.3125617234172,"ANXA1;WNT5A"
"139","Modulation By Host Of Symbiont Process (GO:0051851)","2/42",0.0187140554000923,0.151597312089956,0,0,10.1326530612245,40.3125617234172,"FASN;NUCKS1"
"140","DNA-templated DNA Replication Maintenance Of Fidelity (GO:0045005)","2/43",0.0195637897091909,0.157348765803921,0,0,9.88501742160279,38.888398778374,"PCNA;NUCKS1"
"141","Mitotic Spindle Assembly (GO:0090307)","2/44",0.0204294838615153,0.161997174845537,0,0,9.6491739552964,37.5427757402553,"TPX2;PRC1"
