"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"112","Hexose Biosynthetic Process (GO:0019319)","2/35",0.0132279832722483,0.132865141716831,0,0,12.2863327149041,53.1435584472206,"KRT17;ENO1"
"113","Positive Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904358)","2/35",0.0132279832722483,0.132865141716831,0,0,12.2863327149041,53.1435584472206,"CCT6A;HNRNPA2B1"
"114","Response To UV (GO:0009411)","3/100",0.0138217578324638,0.137611360875846,0,0,6.31406100542034,27.0337233788467,"PCNA;CCND1;USP1"
"115","Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662)","2/37",0.0147110875878219,0.145192038366764,0,0,11.5830903790087,48.8708399253876,"IGFBP3;TPM1"
"116","Positive Regulation Of Cation Channel Activity (GO:2001259)","2/38",0.0154783132235365,0.150152867595846,0,0,11.2607709750567,46.9384448645158,"TMSB4X;CALM2"
"117","Positive Regulation Of Production Of Molecular Mediator Of Immune Response (GO:0002702)","2/38",0.0154783132235365,0.150152867595846,0,0,11.2607709750567,46.9384448645158,"SLC7A5;WNT5A"
"118","Intrinsic Apoptotic Signaling Pathway (GO:0097193)","3/105",0.0157404409875109,0.151401699329025,0,0,6.00303214069133,24.9217201151844,"CYP1B1;CYCS;CD24"
"119","Regulation Of Signal Transduction (GO:0009966)","4/193",0.0160717407971991,0.153289292477487,0,0,4.34545855379189,17.9497542704628,"IGFBP3;NUCKS1;CD24;PPIA"
"120","Positive Regulation Of ATP-dependent Activity (GO:0032781)","2/39",0.0162624064321538,0.153815260837455,0,0,10.9558742415885,45.1261415257865,"TPM1;PFN1"
"121","Regulation Of Intracellular Signal Transduction (GO:1902531)","5/297",0.0167421424105356,0.154933700848498,0,0,3.53424657534247,14.4544543845731,"TMSB4X;WNT5A;CD24;SQSTM1;CALM2"
"122","Regulation Of Cytosolic Calcium Ion Concentration (GO:0051480)","2/40",0.0170631829128301,0.154933700848498,0,0,10.6670247046187,43.4236674606069,"CALB2;WNT5A"
"123","L-alpha-amino Acid Transmembrane Transport (GO:1902475)","2/40",0.0170631829128301,0.154933700848498,0,0,10.6670247046187,43.4236674606069,"SLC7A5;SLC3A2"
"124","Regulation Of Protein Dephosphorylation (GO:0035304)","2/40",0.0170631829128301,0.154933700848498,0,0,10.6670247046187,43.4236674606069,"CALM2;PPIA"
"125","Retinoid Metabolic Process (GO:0001523)","2/40",0.0170631829128301,0.154933700848498,0,0,10.6670247046187,43.4236674606069,"ALDH1A3;CYP1B1"
"126","Cell-Matrix Adhesion (GO:0007160)","3/109",0.0173780716412014,0.156540565974314,0,0,5.77533553783311,23.4048136142864,"ITGA2;ITGA6;CD44"
"127","Response To Lipid (GO:0033993)","3/110",0.0178018044903922,0.159094866902324,0,0,5.72107139416129,23.0470812431264,"ANXA1;SCD;HMGB2"
"128","Negative Regulation Of Cellular Process (GO:0048523)","7/537",0.0181760206276213,0.160406994370051,0,0,2.75086224386285,11.0244988527237,"FTH1;IGFBP3;TACSTD2;HMGA1;CYP1B1;ENO1;ANP32B"
"129","Cytoskeleton Organization (GO:0007010)","3/111",0.0182312795363318,0.160406994370051,0,0,5.66781214203895,22.6974140470314,"CFL1;TPM1;KRT13"
"130","Regulation Of Translation (GO:0006417)","4/202",0.018672432369582,0.162140861672555,0,0,4.14604377104377,16.5041856593251,"EIF5B;NCL;KRT13;TYMS"
"131","Keratinocyte Differentiation (GO:0030216)","2/42",0.0187140554000923,0.162140861672555,0,0,10.1326530612245,40.3125617234172,"ANXA1;WNT5A"
"132","Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)","10/938",0.0188582964442688,0.162152776244281,0,0,2.27155172413793,9.01988288402735,"ELF3;CITED2;WNT5A;HMGA1;HMGB2;NUCKS1;ITGA6;DEK;SQSTM1;PTMA"
"133","DNA-templated DNA Replication Maintenance Of Fidelity (GO:0045005)","2/43",0.0195637897091909,0.166954145262644,0,0,9.88501742160279,38.888398778374,"PCNA;NUCKS1"
"134","Mitotic Spindle Assembly (GO:0090307)","2/44",0.0204294838615153,0.173040777483731,0,0,9.6491739552964,37.5427757402553,"TPX2;BIRC5"
"135","Regulation Of Cellular Metabolic Process (GO:0031323)","2/45",0.0213109604144822,0.174504690032691,0,0,9.42429995253915,36.2697365803843,"NPC2;CYP1B1"
"136","Regulation Of Cell Migration (GO:0030334)","6/434",0.0217893851239897,0.174504690032691,0,0,2.90395704911513,11.1115047962341,"ANXA1;CITED2;TMSB4X;TPM1;CYP1B1;ITGA6"
"137","Amino Acid Transport (GO:0006865)","2/46",0.0222080432575084,0.174504690032691,0,0,9.20964749536178,35.0638977870873,"SLC7A5;SLC3A2"
"138","Replication Fork Processing (GO:0031297)","2/46",0.0222080432575084,0.174504690032691,0,0,9.20964749536178,35.0638977870873,"PCNA;NUCKS1"
"139","Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536)","2/46",0.0222080432575084,0.174504690032691,0,0,9.20964749536178,35.0638977870873,"ANXA1;TMSB4X"
"140","Response To Hydrogen Peroxide (GO:0042542)","2/46",0.0222080432575084,0.174504690032691,0,0,9.20964749536178,35.0638977870873,"ANXA1;CYP1B1"
"141","Positive Regulation Of Cell-Cell Adhesion (GO:0022409)","2/46",0.0222080432575084,0.174504690032691,0,0,9.20964749536178,35.0638977870873,"CITED2;CD44"
"142","Myofibril Assembly (GO:0030239)","2/46",0.0222080432575084,0.174504690032691,0,0,9.20964749536178,35.0638977870873,"KRT19;TPM1"
"143","Epithelial To Mesenchymal Transition (GO:0001837)","2/47",0.0231205576171507,0.174504690032691,0,0,9.00453514739229,33.920382104137,"WNT5A;S100A4"
"144","Negative Regulation Of Endoplasmic Reticulum Calcium Ion Concentration (GO:0032471)","1/5",0.0247535287182936,0.174504690032691,0,0,50.2424242424242,185.836036973753,"TGM2"
"145","DNA Replication-Dependent Chromatin Assembly (GO:0006335)","1/5",0.0247535287182936,0.174504690032691,0,0,50.2424242424242,185.836036973753,"NASP"
"146","Negative Regulation Of Morphogenesis Of An Epithelium (GO:1905331)","1/5",0.0247535287182936,0.174504690032691,0,0,50.2424242424242,185.836036973753,"TACSTD2"
"147","Negative Regulation Of Protein Polyubiquitination (GO:1902915)","1/5",0.0247535287182936,0.174504690032691,0,0,50.2424242424242,185.836036973753,"PPIA"
"148","Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process By Cytochrome C (GO:0008635)","1/5",0.0247535287182936,0.174504690032691,0,0,50.2424242424242,185.836036973753,"CYCS"
